상호명,상권업종소분류명,시도명,시군구명,위도,경도
알맞은시간,카페,제주특별자치도,서귀포시,33.30651921,126.7691048
빽다방서귀포성읍,카페,제주특별자치도,서귀포시,33.38468406,126.8022046
리치망고협제점,카페,제주특별자치도,제주시,33.40240328,126.2517715
바이못,카페,제주특별자치도,제주시,33.35019968,126.3058575
쥬씨삼화점,카페,제주특별자치도,제주시,33.51675485,126.579452
유스커피,카페,제주특별자치도,제주시,33.48432202,126.5406591
카페랑스,카페,제주특별자치도,서귀포시,33.26562663,126.5681667
플로레종,카페,제주특별자치도,제주시,33.43392437,126.4015297
공차제주,카페,제주특별자치도,제주시,33.50540414,126.5414302
카페올디,카페,제주특별자치도,제주시,33.49395507,126.54912
놀멍쉬멍카페테리아,카페,제주특별자치도,서귀포시,33.25267296,126.4183711
월드카페,카페,제주특별자치도,제주시,33.41738834,126.2639423
이디야커피,카페,제주특별자치도,제주시,33.51335226,126.5260185
업드림스튜디오제주성산브런치난산리다방;조아가지구,카페,제주특별자치도,서귀포시,33.39894482,126.8679034
투썸플레이스제주애월다인호텔점,카페,제주특별자치도,제주시,33.47249892,126.3504761
구달나인,카페,제주특별자치도,서귀포시,33.26937852,126.6486793
제주살롱,카페,제주특별자치도,제주시,33.47101668,126.7825797
메이비,카페,제주특별자치도,서귀포시,33.24498363,126.5642337
블루로즈553,카페,제주특별자치도,제주시,33.33804933,126.2284766
애월브릭하우스,카페,제주특별자치도,제주시,33.4748358,126.3647349
소담,카페,제주특별자치도,서귀포시,33.23124686,126.5073444
본태인터네셔널,카페,제주특별자치도,제주시,33.46292656,126.3092415
터미널다방,카페,제주특별자치도,제주시,33.49971311,126.5148687
진주다방,카페,제주특별자치도,제주시,33.47836044,126.4807639
메가엠지씨커피제주,카페,제주특별자치도,제주시,33.50568343,126.541375
빽다방서귀포올레,카페,제주특별자치도,서귀포시,33.24949522,126.5626446
커피473,카페,제주특별자치도,제주시,33.49943292,126.5407084
플레이스엉물,카페,제주특별자치도,제주시,33.48963246,126.9006603
쪼끌락,카페,제주특별자치도,제주시,33.55776259,126.7552037
토끼문,카페,제주특별자치도,제주시,33.55589725,126.7954833
경운재,카페,제주특별자치도,제주시,33.49393907,126.6767755
개화당,카페,제주특별자치도,제주시,33.47019723,126.5415297
꿈꾸는고양이,카페,제주특별자치도,제주시,33.46608988,126.3576344
달자카페,카페,제주특별자치도,제주시,33.48354907,126.3797559
홀리싯커피서플라이,카페,제주특별자치도,제주시,33.49480093,126.5413032
클라우드나인커피,카페,제주특별자치도,제주시,33.49903842,126.5292819
몽상의정원,카페,제주특별자치도,제주시,33.52450224,126.5645809
글러트니커피,카페,제주특별자치도,제주시,33.48657252,126.5348907
블라썸1407,카페,제주특별자치도,제주시,33.45684998,126.3475381
뽀르또,카페,제주특별자치도,서귀포시,33.27312475,126.6633264
도그모루,카페,제주특별자치도,제주시,33.51527905,126.673015
법환쌀다방,카페,제주특별자치도,서귀포시,33.23747385,126.5110862
카페오트,카페,제주특별자치도,제주시,33.32585668,126.2560565
리치망고도두해안로점,카페,제주특별자치도,제주시,33.50565334,126.4684182
엘파소,카페,제주특별자치도,서귀포시,33.24538996,126.3259153
사계풍경포시즌,카페,제주특별자치도,서귀포시,33.23655142,126.3106193
세화인,카페,제주특별자치도,제주시,33.52619367,126.8560088
띠아모제주,카페,제주특별자치도,제주시,33.50593974,126.495957
헬렌앤마리,카페,제주특별자치도,제주시,33.51223474,126.5237859
채플린,카페,제주특별자치도,서귀포시,33.24820844,126.5659453
세화비치,카페,제주특별자치도,제주시,33.52493239,126.8568398
코삿호다,카페,제주특별자치도,제주시,33.36551894,126.1982888
소인,카페,제주특별자치도,제주시,33.48421784,126.4843764
깃든,카페,제주특별자치도,제주시,33.54309217,126.8296125
카페현,카페,제주특별자치도,제주시,33.49288896,126.5435838
큐제이,카페,제주특별자치도,제주시,33.49014821,126.5363242
미르의언덕,카페,제주특별자치도,제주시,33.54518288,126.6621784
카페훤,카페,제주특별자치도,제주시,33.39617119,126.242506
스위스마을117동;다온,카페,제주특별자치도,제주시,33.49393907,126.6767755
디오,카페,제주특별자치도,제주시,33.50714974,126.5121904
윈드스톤,카페,제주특별자치도,제주시,33.46047601,126.4360909
백향목전통차,카페,제주특별자치도,서귀포시,33.40975637,126.8977734
준파스타,카페,제주특별자치도,서귀포시,33.25852567,126.6249409
블루하이,카페,제주특별자치도,제주시,33.38139558,126.2180244
한앤솜하우스,카페,제주특별자치도,제주시,33.47567755,126.477391
에이바우트커피올레,카페,제주특별자치도,서귀포시,33.24736797,126.5628162
카페이음새,카페,제주특별자치도,제주시,33.49057559,126.4957017
카페블루탐,카페,제주특별자치도,제주시,33.53120208,126.6196447
그녀의커피잔,카페,제주특별자치도,서귀포시,33.24153658,126.5312247
이디야커피제주하귀점,카페,제주특별자치도,제주시,33.48461884,126.4162338
콩,카페,제주특별자치도,서귀포시,33.25447191,126.5600014
르브아커피,카페,제주특별자치도,서귀포시,33.27404317,126.6764396
바닐라파레트,카페,제주특별자치도,제주시,33.47713358,126.4805991
블루미270,카페,제주특별자치도,서귀포시,33.31220486,126.7191774
모티프커피제주,카페,제주특별자치도,서귀포시,33.28035193,126.2851033
종달블랑,카페,제주특별자치도,제주시,33.49184928,126.8992696
보라지붕,카페,제주특별자치도,제주시,33.54076855,126.6701521
갤러리오브디지털아트,카페,제주특별자치도,서귀포시,33.30420118,126.2996617
이레하우스,카페,제주특별자치도,제주시,33.49606021,126.5503358
인,카페,제주특별자치도,제주시,33.54519975,126.8280471
버터플라이,카페,제주특별자치도,서귀포시,33.25702335,126.5755173
제주봄날,카페,제주특별자치도,제주시,33.46250476,126.3095891
메탈리코,카페,제주특별자치도,제주시,33.42538868,126.4057816
화의기억,카페,제주특별자치도,제주시,33.43953704,126.3285043
엘앤씨컴퍼니,카페,제주특별자치도,서귀포시,33.24429919,126.5910194
카페오션브릭,카페,제주특별자치도,서귀포시,33.24174054,126.3246451
레이지,카페,제주특별자치도,서귀포시,33.23644663,126.3128625
색달로망스,카페,제주특별자치도,서귀포시,33.26076227,126.4110842
녹원,카페,제주특별자치도,제주시,33.50758453,126.5243064
제주엔봄,카페,제주특별자치도,제주시,33.46610987,126.5146579
산방산흑돼지,카페,제주특별자치도,서귀포시,33.23587318,126.3086291
이디야커피제주화북점,카페,제주특별자치도,제주시,33.51876939,126.5727148
효진,카페,제주특별자치도,제주시,33.51317035,126.5303355
뽀르뽀라,카페,제주특별자치도,서귀포시,33.41055767,126.9078243
유람위드북스,카페,제주특별자치도,제주시,33.33973823,126.2347777
루핀,카페,제주특별자치도,서귀포시,33.21038633,126.2913358
도노미,카페,제주특별자치도,제주시,33.48425354,126.4756933
오캄커피,카페,제주특별자치도,제주시,33.4995528,126.5317865
리치망고애월점,카페,제주특별자치도,제주시,33.46855869,126.3401783
걸피커피,카페,제주특별자치도,제주시,33.49907053,126.5258811
에이바우트스타디움,카페,제주특별자치도,제주시,33.50496379,126.5643129
파스쿠찌제주노형,카페,제주특별자치도,제주시,33.48701852,126.4792812
속솜,카페,제주특별자치도,제주시,33.52859028,126.879839
자작나무,카페,제주특별자치도,제주시,33.4798375,126.4978942
파머스커피,카페,제주특별자치도,서귀포시,33.24374997,126.45694
곱을락;숨바꼭질,카페,제주특별자치도,서귀포시,33.1670806,126.2724305
동광,카페,제주특별자치도,제주시,33.48972959,126.5425566
비원,카페,제주특별자치도,제주시,33.51310344,126.5293349
요거프레스제주성산점,카페,제주특별자치도,서귀포시,33.46642464,126.9119929
카페노아,카페,제주특별자치도,제주시,33.52862493,126.58904
니모스토리,카페,제주특별자치도,제주시,33.55825605,126.7539855
두리,카페,제주특별자치도,서귀포시,33.32585142,126.8316261
레드빈,카페,제주특별자치도,서귀포시,33.25239944,126.4254769
제주앨리스연동점,카페,제주특별자치도,제주시,33.48014304,126.4910174
메이플,카페,제주특별자치도,제주시,33.38407682,126.2673612
에이바웃,카페,제주특별자치도,서귀포시,33.25159096,126.424173
뜨락,카페,제주특별자치도,제주시,33.48291507,126.4124687
모란이피기까지,카페,제주특별자치도,제주시,33.51557546,126.8664133
디엔에이투자파트너스,카페,제주특별자치도,제주시,33.30816135,126.249077
컴포즈서귀포표선점,카페,제주특별자치도,서귀포시,33.326898,126.8321396
부커피,카페,제주특별자치도,제주시,33.51890666,126.4920498
호꼴락,카페,제주특별자치도,서귀포시,33.32585142,126.8316261
마린68,카페,제주특별자치도,서귀포시,33.23084931,126.3082931
덴드리,카페,제주특별자치도,서귀포시,33.36961314,126.8660565
부추,카페,제주특별자치도,제주시,33.4474759,126.4343037
온도커피,카페,제주특별자치도,제주시,33.48291128,126.4845563
에니스케리,카페,제주특별자치도,제주시,33.39540252,126.2421257
마블러스하도,카페,제주특별자치도,제주시,33.52920362,126.8800965
은찬이네카페,카페,제주특별자치도,서귀포시,33.32585142,126.8316261
유심이감성,카페,제주특별자치도,제주시,33.96058454,126.2955297
아주르블루,카페,제주특별자치도,서귀포시,33.27968447,126.7238222
모래비커피팩토리,카페,제주특별자치도,제주시,33.55551949,126.7960334
투썸플레이스제주남원농협하나로마트점,카페,제주특별자치도,서귀포시,33.28439528,126.7217033
그리니티,카페,제주특별자치도,제주시,33.49292048,126.5447996
커피순,카페,제주특별자치도,제주시,33.49162771,126.4972451
우지커피제주,카페,제주특별자치도,서귀포시,33.25209791,126.4226673
20세기소년,카페,제주특별자치도,제주시,33.50141082,126.5296027
베러먼데이노형,카페,제주특별자치도,제주시,33.48337831,126.4776675
제파,카페,제주특별자치도,제주시,33.55456941,126.7939789
오,카페,제주특별자치도,제주시,33.51474639,126.5394758
애월맛차,카페,제주특별자치도,제주시,33.47140411,126.4186999
로컬리지,카페,제주특별자치도,서귀포시,33.23153949,126.2963148
카페촐,카페,제주특별자치도,서귀포시,33.41223397,126.7737708
록록타르트,카페,제주특별자치도,제주시,33.52885087,126.8789343
월령15,카페,제주특별자치도,제주시,33.37626312,126.2176405
망고레이필리핀디저트카페,카페,제주특별자치도,서귀포시,33.43635265,126.9205188
송당나무가드닝센터,카페,제주특별자치도,제주시,33.47696041,126.7890416
헬레네감사헌느,카페,제주특별자치도,제주시,33.49484937,126.6766537
하토우커피로스터스,카페,제주특별자치도,제주시,33.52002431,126.8701416
나지금제주,카페,제주특별자치도,제주시,33.48177429,126.4714799
서귀포더벤티,카페,제주특별자치도,서귀포시,33.25092138,126.4334703
노마와사비,카페,제주특별자치도,제주시,33.50164112,126.5429567
카페두모리에,카페,제주특별자치도,제주시,33.3574857,126.1830635
소금인형,카페,제주특별자치도,제주시,33.50448544,126.5249261
메리오가닉,카페,제주특별자치도,제주시,33.34972088,126.1827386
나인커피숍,카페,제주특별자치도,제주시,33.49473979,126.5467378
개떼목장,카페,제주특별자치도,서귀포시,33.27937334,126.3179364
우도몬딱,카페,제주특별자치도,제주시,33.51501791,126.9569783
카페도구리3083,카페,제주특별자치도,서귀포시,33.27490269,126.172617
구씨커피,카페,제주특별자치도,제주시,33.52363072,126.853957
좁생이방앗간,카페,제주특별자치도,서귀포시,33.35470622,126.8405523
빽다방제주,카페,제주특별자치도,제주시,33.54518288,126.6621784
카페애옥,카페,제주특별자치도,서귀포시,33.36924586,126.8682922
커피와수다,카페,제주특별자치도,제주시,33.51152704,126.5202918
돌개바람,카페,제주특별자치도,서귀포시,33.40076258,126.9032017
쿠잉,카페,제주특별자치도,제주시,33.49271625,126.4770627
욱앤에프,카페,제주특별자치도,제주시,33.54248807,126.6692088
앤그리고,카페,제주특별자치도,서귀포시,33.24708522,126.5644594
노을해안1014,카페,제주특별자치도,제주시,33.29767701,126.1685585
더벤티법환포구점,카페,제주특별자치도,서귀포시,33.2355576,126.5144657
원택,카페,제주특별자치도,제주시,33.49860909,126.5301882
달리는커피도두점,카페,제주특별자치도,제주시,33.50294734,126.4639471
코알라,카페,제주특별자치도,제주시,33.48121705,126.489096
템푸스,카페,제주특별자치도,제주시,33.55492716,126.7976932
베이커리카페70,카페,제주특별자치도,서귀포시,33.24499229,126.569309
서정,카페,제주특별자치도,서귀포시,33.25259464,126.5544092
법인더휘게,카페,제주특별자치도,제주시,33.429337,126.3551096
시작카페,카페,제주특별자치도,제주시,33.50770869,126.5237676
말벗카페,카페,제주특별자치도,제주시,33.44897614,126.7134458
고스란히,카페,제주특별자치도,제주시,33.48845775,126.5351281
어썸커뮤니티,카페,제주특별자치도,제주시,33.47643936,126.5497487
드롭탑제주,카페,제주특별자치도,제주시,33.50397969,126.5270597
꾸까,카페,제주특별자치도,제주시,33.51567549,126.5396001
파피용살롱드떼,카페,제주특별자치도,서귀포시,33.32772543,126.8306129
컴포즈커피한림점,카페,제주특별자치도,제주시,33.40991433,126.2654889
황금다방,카페,제주특별자치도,서귀포시,33.24748842,126.5663137
에이드롭커피,카페,제주특별자치도,서귀포시,33.27537309,126.6747173
도로시,카페,제주특별자치도,제주시,33.48817416,126.4818136
머스크,카페,제주특별자치도,제주시,33.52019977,126.5666153
앨리스,카페,제주특별자치도,제주시,33.49756987,126.5295589
달리는커피제주삼화점,카페,제주특별자치도,제주시,33.51702523,126.5820878
레몬올레,카페,제주특별자치도,서귀포시,33.2624917,126.3684872
동감,카페,제주특별자치도,제주시,33.47860391,126.4807732
귤하르방구좌점,카페,제주특별자치도,제주시,33.53239786,126.8494315
마당한동,카페,제주특별자치도,제주시,33.53333216,126.8198994
금호다방,카페,제주특별자치도,제주시,33.51211652,126.5188571
모카,카페,제주특별자치도,서귀포시,33.29216872,126.7613912
우유부단,카페,제주특별자치도,제주시,33.34761701,126.3280613
모시란,카페,제주특별자치도,제주시,33.49811223,126.5468709
백조,카페,제주특별자치도,제주시,33.51364025,126.5282449
달페이지,카페,제주특별자치도,서귀포시,33.2597569,126.4139349
마로네,카페,제주특별자치도,제주시,33.51217707,126.5395325
망고하이,카페,제주특별자치도,서귀포시,33.25822668,126.4068622
카카듀,카페,제주특별자치도,제주시,33.49130453,126.5417843
이디야커피제주연북로점,카페,제주특별자치도,제주시,33.48166877,126.4849618
그레이트커피,카페,제주특별자치도,서귀포시,33.2669766,126.2953761
귤꽃,카페,제주특별자치도,제주시,33.53842006,126.6553142
샐리가든커피,카페,제주특별자치도,제주시,33.49291516,126.5360727
19티성산,카페,제주특별자치도,서귀포시,33.46129928,126.9342755
엠브릿지,카페,제주특별자치도,서귀포시,33.21005903,126.2583784
코츠커피,카페,제주특별자치도,서귀포시,33.2448043,126.5065709
아이즈,카페,제주특별자치도,제주시,33.53606053,126.6251894
카페헤이브라운,카페,제주특별자치도,제주시,33.47211616,126.5411323
카페인어,카페,제주특별자치도,제주시,33.44043402,126.2763944
제주나무카페,카페,제주특별자치도,제주시,33.4561999,126.710378
쁘띠,카페,제주특별자치도,제주시,33.49517849,126.5337578
꽃길,카페,제주특별자치도,서귀포시,33.25091618,126.5616181
카페바나나,카페,제주특별자치도,제주시,33.54381497,126.6630989
컴플리트,카페,제주특별자치도,제주시,33.47824183,126.4912975
다코네,카페,제주특별자치도,제주시,33.52919017,126.8367771
위즈,카페,제주특별자치도,제주시,33.48751466,126.4321283
커피로카,카페,제주특별자치도,제주시,33.50662665,126.5404444
하례마을공간내창협동조합,카페,제주특별자치도,서귀포시,33.25339411,126.6275169
꿈,카페,제주특별자치도,제주시,33.5020625,126.5278988
올래파이,카페,제주특별자치도,제주시,33.48015144,126.4908667
픽토랜드,카페,제주특별자치도,제주시,33.5221791,126.6881022
달리는커피제주외도점,카페,제주특별자치도,제주시,33.48897754,126.4306661
칠칠,카페,제주특별자치도,제주시,33.51365447,126.5272439
알레그레,카페,제주특별자치도,제주시,33.42599077,126.26416
더구두미,카페,제주특별자치도,서귀포시,33.2436643,126.5953895
마크로비오틱올리브,카페,제주특별자치도,서귀포시,33.3260623,126.3788012
소색채본,카페,제주특별자치도,서귀포시,33.23511656,126.3136453
카페쉬머,카페,제주특별자치도,서귀포시,33.25405129,126.5217788
바라나시책골목,카페,제주특별자치도,제주시,33.51632169,126.5151957
플라워코티지,카페,제주특별자치도,서귀포시,33.24486755,126.3636675
영국찻집,카페,제주특별자치도,제주시,33.41723414,126.314119
커피림,카페,제주특별자치도,제주시,33.46944616,126.4878634
노론존,카페,제주특별자치도,제주시,33.48843607,126.4840824
카페분식이다,카페,제주특별자치도,제주시,33.48764301,126.5342501
해리앤소담,카페,제주특별자치도,제주시,33.462635,126.4310858
앤드앤드,카페,제주특별자치도,제주시,33.48361455,126.4867363
빽다방제주평화로에스케이점,카페,제주특별자치도,제주시,33.46752173,126.4572482
컴포즈,카페,제주특별자치도,서귀포시,33.26130866,126.521589
서귀포평양옥,카페,제주특별자치도,서귀포시,33.29839248,126.6007523
케이빈,카페,제주특별자치도,제주시,33.47756583,126.549603
몽마르카부덴,카페,제주특별자치도,서귀포시,33.23523845,126.3128612
파라카페,카페,제주특별자치도,제주시,33.48409544,126.3808387
발트글라스카페,카페,제주특별자치도,제주시,33.46803839,126.4853759
고사리커피,카페,제주특별자치도,제주시,33.47337211,126.7640802
러뷰라떼,카페,제주특별자치도,제주시,33.47981511,126.526567
혜윰,카페,제주특별자치도,제주시,33.46933,126.5435137
커피마마제주한림점,카페,제주특별자치도,제주시,33.41112413,126.2672955
수궁다방,카페,제주특별자치도,서귀포시,33.22024366,126.2517491
카페온,카페,제주특별자치도,제주시,33.4903459,126.4794012
제주에서,카페,제주특별자치도,제주시,33.49863977,126.5335348
자유다방,카페,제주특별자치도,서귀포시,33.24923485,126.5655325
루프탑,카페,제주특별자치도,서귀포시,33.24522304,126.5630844
산지물마을카페,카페,제주특별자치도,서귀포시,33.26429827,126.5647281
웰컴순카페,카페,제주특별자치도,제주시,33.34569737,126.283055
라브뉴,카페,제주특별자치도,제주시,33.49226184,126.5301794
꼬닥꼬닥걸으멍,카페,제주특별자치도,서귀포시,33.17279851,126.269628
카페제주로드1136,카페,제주특별자치도,제주시,33.35310505,126.2594238
빽다방제주봉개DT점,카페,제주특별자치도,제주시,33.48410845,126.6041955
봄봄,카페,제주특별자치도,제주시,33.48913908,126.4754379
쉬어갓,카페,제주특별자치도,서귀포시,33.38609318,126.8822709
드리밍,카페,제주특별자치도,제주시,33.50042454,126.5263042
플랏포커피,카페,제주특별자치도,제주시,33.4870154,126.4828427
모드락572,카페,제주특별자치도,서귀포시,33.35447622,126.7737377
컴포즈커피서귀포성산점,카페,제주특별자치도,서귀포시,33.45093511,126.9121806
제피로스,카페,제주특별자치도,제주시,33.31758726,126.1690138
고다시,카페,제주특별자치도,제주시,33.47400801,126.5263512
카페판포리,카페,제주특별자치도,제주시,33.36316255,126.201985
아미고라운드,카페,제주특별자치도,서귀포시,33.24244666,126.3752195
엠에이치컴퍼니산노루,카페,제주특별자치도,제주시,33.33003816,126.2133067
티타임커피,카페,제주특별자치도,제주시,33.96309386,126.2976513
더그레이스,카페,제주특별자치도,제주시,33.3213676,126.2412959
유나카페,카페,제주특별자치도,서귀포시,33.26601391,126.6418238
숑,카페,제주특별자치도,서귀포시,33.26634121,126.6427669
록록,카페,제주특별자치도,제주시,33.52885087,126.8789343
레프트핸더,카페,제주특별자치도,제주시,33.52019012,126.8649961
콜라비,카페,제주특별자치도,제주시,33.4281614,126.6746216
버드아일랜드,카페,제주특별자치도,제주시,33.4639907,126.4559256
아줄레주,카페,제주특별자치도,서귀포시,33.36698454,126.8391652
양철공,카페,제주특별자치도,서귀포시,33.24430598,126.5690012
달비치,카페,제주특별자치도,제주시,33.55507964,126.7972082
소길다방,카페,제주특별자치도,제주시,33.43881064,126.37944
카페시소,카페,제주특별자치도,제주시,33.54344647,126.6348801
마당별,카페,제주특별자치도,서귀포시,33.25146233,126.4394331
272커피,카페,제주특별자치도,제주시,33.49978104,126.5254253
카페,카페,제주특별자치도,제주시,33.40721769,126.3340205
해당화다방,카페,제주특별자치도,서귀포시,33.24923845,126.5665626
아이올레인포레스트,카페,제주특별자치도,제주시,33.51836883,126.7877679
낭커피,카페,제주특별자치도,서귀포시,33.29157606,126.6092218
싱싱프루츠,카페,제주특별자치도,제주시,33.48939522,126.5399114
커피516,카페,제주특별자치도,서귀포시,33.2560736,126.5772711
메종드카페,카페,제주특별자치도,제주시,33.49953427,126.522209
헤이브라더,카페,제주특별자치도,서귀포시,33.22558964,126.2996559
투썸플레이스엠제이벤처오름점,카페,제주특별자치도,제주시,33.45456409,126.5719544
매일더탐나,카페,제주특별자치도,서귀포시,33.30669727,126.7828487
별빛카페,카페,제주특별자치도,제주시,33.4482497,126.5506687
아침미소목,카페,제주특별자치도,제주시,33.45479293,126.5862479
커피냅로스터스제주,카페,제주특별자치도,제주시,33.48918697,126.4137068
놀소랑,카페,제주특별자치도,서귀포시,33.27452275,126.6226721
시,카페,제주특별자치도,서귀포시,33.25724042,126.5704616
미엘드세화,카페,제주특별자치도,제주시,33.52452334,126.8618461
에이바우트커피베라체점,카페,제주특별자치도,제주시,33.49208322,126.5426841
설빙제주삼화점,카페,제주특별자치도,제주시,33.51561842,126.5766805
바누카페,카페,제주특별자치도,제주시,33.5347728,126.6286939
예스예스커피,카페,제주특별자치도,제주시,33.4871059,126.5376854
벌툰제주한라대점,카페,제주특별자치도,제주시,33.47608677,126.4803687
수마,카페,제주특별자치도,서귀포시,33.46099252,126.9338778
퍼스트스퀘어,카페,제주특별자치도,서귀포시,33.25318995,126.5595357
풍년다방카페,카페,제주특별자치도,서귀포시,33.25013125,126.5640365
이디야커피시청고산동산점,카페,제주특별자치도,제주시,33.49640618,126.5317712
케이로컬,카페,제주특별자치도,서귀포시,33.24392289,126.2184997
단수이카스테라인제주,카페,제주특별자치도,제주시,33.46272981,126.4521363
빛채움천연염색체험까페,카페,제주특별자치도,서귀포시,33.39387248,126.7971965
지금;여기,카페,제주특별자치도,서귀포시,33.25241281,126.5590459
오로라공주,카페,제주특별자치도,서귀포시,33.2628656,126.3483402
벨롱,카페,제주특별자치도,제주시,33.52826534,126.8794626
설빙제주,카페,제주특별자치도,제주시,33.49803094,126.52989
호다,카페,제주특별자치도,제주시,33.54284182,126.6633072
킵미클로즈,카페,제주특별자치도,제주시,33.5121669,126.4843184
봉꾸라주,카페,제주특별자치도,서귀포시,33.25428627,126.5057771
디케이리,카페,제주특별자치도,제주시,33.51285797,126.5287981
시차,카페,제주특별자치도,제주시,33.44162411,126.2826004
유라디,카페,제주특별자치도,제주시,33.47143141,126.5511086
투썸플레이스연북로점,카페,제주특별자치도,제주시,33.4819403,126.5028851
미소,카페,제주특별자치도,제주시,33.51277304,126.5184337
더벤티제주,카페,제주특별자치도,제주시,33.50513597,126.5372021
카페코랫,카페,제주특별자치도,제주시,33.43981181,126.329298
카페폴린,카페,제주특별자치도,서귀포시,33.24612527,126.5736493
더벤티제주,카페,제주특별자치도,제주시,33.48668966,126.478261
다소재티하우스,카페,제주특별자치도,제주시,33.50449313,126.5245816
바람,카페,제주특별자치도,제주시,33.44665045,126.5547208
모니카플라워까페,카페,제주특별자치도,제주시,33.46737413,126.5486015
수하리,카페,제주특별자치도,서귀포시,33.40767535,126.8998722
달콤커피제주,카페,제주특별자치도,제주시,33.50593974,126.495957
모멘터리커피,카페,제주특별자치도,제주시,33.55645234,126.7537214
바다는김녕,카페,제주특별자치도,제주시,33.55806866,126.754966
율커피,카페,제주특별자치도,서귀포시,33.27525964,126.70137
스트릿16,카페,제주특별자치도,제주시,33.51453415,126.5122889
블루마운틴4255,카페,제주특별자치도,서귀포시,33.38008267,126.8373034
빽다방빵연구소제주연동점,카페,제주특별자치도,제주시,33.48375064,126.48694
안녕구움,카페,제주특별자치도,제주시,33.3054016,126.1790936
벌크커피서귀포,카페,제주특별자치도,서귀포시,33.25229787,126.5571471
수상한언니들,카페,제주특별자치도,제주시,33.52048552,126.5658281
센잇,카페,제주특별자치도,제주시,33.51191849,126.5236047
봄봄표선점,카페,제주특별자치도,서귀포시,33.32571816,126.8330977
사계2499,카페,제주특별자치도,서귀포시,33.2311132,126.2958677
쏘잉싸롱,카페,제주특별자치도,제주시,33.3226201,126.2621303
가을남자의커피향기,카페,제주특별자치도,제주시,33.46593337,126.3347981
협재이길,카페,제주특별자치도,제주시,33.39255708,126.2412369
트리앤,카페,제주특별자치도,제주시,33.5439787,126.6737361
머스태쉬커피MustacheCoffee,카페,제주특별자치도,제주시,33.46406995,126.3220116
커피온다,카페,제주특별자치도,제주시,33.49946867,126.5215636
리썸룸lissomroom,카페,제주특별자치도,제주시,33.45980998,126.4343635
휴메인제주성산지점,카페,제주특별자치도,서귀포시,33.37275505,126.8538551
시연,카페,제주특별자치도,제주시,33.49688027,126.4517276
살롱드라방,카페,제주특별자치도,제주시,33.45786718,126.3489503
요거랑,카페,제주특별자치도,제주시,33.49398455,126.547312
연출까페,카페,제주특별자치도,서귀포시,33.27871605,126.7181683
천사카페,카페,제주특별자치도,서귀포시,33.44723103,126.9143892
리앤오컴퍼니,카페,제주특별자치도,서귀포시,33.27520828,126.6570069
가온해,카페,제주특별자치도,서귀포시,33.23492509,126.367677
하늘정원,카페,제주특별자치도,서귀포시,33.25273905,126.5569732
차한모금,카페,제주특별자치도,제주시,33.53773785,126.837181
용용다방,카페,제주특별자치도,서귀포시,33.32698143,126.8338364
백주산보,카페,제주특별자치도,서귀포시,33.24395964,126.5947121
